stage,dataset_size,seed,normal_scenario,attack_type,tp,fp,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,flagged_poison_rejection_rate,attack_phase_count,attack_sequence_count
sequence_model_v5,5000,43,normal_staggered,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
sequence_model_v5,5000,43,normal_staggered,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
sequence_model_v5,5000,43,normal_staggered,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
hardened_v3_event,5000,43,normal_nat_burst,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,43,normal_nat_burst,slow_credential_probe,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,43,normal_nat_burst,session_replay_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,43,normal_nat_burst,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,43,normal_nat_burst,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
hardened_v3_event,5000,43,normal_nat_burst,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
sequence_model_v5,5000,43,normal_nat_burst,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
sequence_model_v5,5000,43,normal_nat_burst,slow_credential_probe,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,5.0,0.0,48,12
sequence_model_v5,5000,43,normal_nat_burst,session_replay_chain,12,0,0,36,1.0,0.25,0.4,0.0,0.0,1.0,0.0,1.0,4.0,0.0,48,12
sequence_model_v5,5000,43,normal_nat_burst,gradual_exfiltration,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,5.0,0.0,48,12
sequence_model_v5,5000,43,normal_nat_burst,distributed_lateral_drift,1,0,0,31,1.0,0.03125,0.06060606060606061,0.0,0.0,0.125,0.125,0.0,5.0,0.0,32,8
sequence_model_v5,5000,43,normal_nat_burst,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
hardened_v3_event,5000,44,normal_staggered,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,44,normal_staggered,slow_credential_probe,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,5.0,0.0,48,12
hardened_v3_event,5000,44,normal_staggered,session_replay_chain,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,5.0,0.0,48,12
hardened_v3_event,5000,44,normal_staggered,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,44,normal_staggered,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
hardened_v3_event,5000,44,normal_staggered,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
sequence_model_v5,5000,44,normal_staggered,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
sequence_model_v5,5000,44,normal_staggered,slow_credential_probe,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,5.0,0.0,48,12
sequence_model_v5,5000,44,normal_staggered,session_replay_chain,12,0,0,36,1.0,0.25,0.4,0.0,0.0,1.0,0.0,1.0,4.0,0.0,48,12
sequence_model_v5,5000,44,normal_staggered,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
sequence_model_v5,5000,44,normal_staggered,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
sequence_model_v5,5000,44,normal_staggered,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
hardened_v3_event,5000,44,normal_nat_burst,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,44,normal_nat_burst,slow_credential_probe,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,44,normal_nat_burst,session_replay_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,44,normal_nat_burst,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,44,normal_nat_burst,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
hardened_v3_event,5000,44,normal_nat_burst,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
sequence_model_v5,5000,44,normal_nat_burst,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
sequence_model_v5,5000,44,normal_nat_burst,slow_credential_probe,15,0,0,33,1.0,0.3125,0.47619047619047616,0.0,0.0,0.75,0.5833333333333334,0.6666666666666666,3.0,0.0,48,12
sequence_model_v5,5000,44,normal_nat_burst,session_replay_chain,12,0,0,36,1.0,0.25,0.4,0.0,0.0,1.0,0.0,1.0,4.0,0.0,48,12
sequence_model_v5,5000,44,normal_nat_burst,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
sequence_model_v5,5000,44,normal_nat_burst,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
sequence_model_v5,5000,44,normal_nat_burst,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
hardened_v3_event,5000,45,normal_staggered,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,45,normal_staggered,slow_credential_probe,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,45,normal_staggered,session_replay_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,45,normal_staggered,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,45,normal_staggered,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
hardened_v3_event,5000,45,normal_staggered,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
sequence_model_v5,5000,45,normal_staggered,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
sequence_model_v5,5000,45,normal_staggered,slow_credential_probe,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
sequence_model_v5,5000,45,normal_staggered,session_replay_chain,12,0,0,36,1.0,0.25,0.4,0.0,0.0,1.0,0.0,1.0,4.0,0.0,48,12
sequence_model_v5,5000,45,normal_staggered,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
sequence_model_v5,5000,45,normal_staggered,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
sequence_model_v5,5000,45,normal_staggered,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
hardened_v3_event,5000,45,normal_nat_burst,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,45,normal_nat_burst,slow_credential_probe,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,45,normal_nat_burst,session_replay_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,45,normal_nat_burst,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,45,normal_nat_burst,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
hardened_v3_event,5000,45,normal_nat_burst,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
sequence_model_v5,5000,45,normal_nat_burst,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
sequence_model_v5,5000,45,normal_nat_burst,slow_credential_probe,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,5.0,0.0,48,12
sequence_model_v5,5000,45,normal_nat_burst,session_replay_chain,12,0,0,36,1.0,0.25,0.4,0.0,0.0,1.0,0.0,1.0,4.0,0.0,48,12
sequence_model_v5,5000,45,normal_nat_burst,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
sequence_model_v5,5000,45,normal_nat_burst,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
sequence_model_v5,5000,45,normal_nat_burst,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
hardened_v3_event,5000,46,normal_staggered,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,46,normal_staggered,slow_credential_probe,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,46,normal_staggered,session_replay_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,46,normal_staggered,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,46,normal_staggered,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
hardened_v3_event,5000,46,normal_staggered,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
sequence_model_v5,5000,46,normal_staggered,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
sequence_model_v5,5000,46,normal_staggered,slow_credential_probe,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
sequence_model_v5,5000,46,normal_staggered,session_replay_chain,12,0,0,36,1.0,0.25,0.4,0.0,0.0,1.0,0.0,1.0,4.0,0.0,48,12
sequence_model_v5,5000,46,normal_staggered,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
sequence_model_v5,5000,46,normal_staggered,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
sequence_model_v5,5000,46,normal_staggered,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
hardened_v3_event,5000,46,normal_nat_burst,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,46,normal_nat_burst,slow_credential_probe,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,46,normal_nat_burst,session_replay_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,46,normal_nat_burst,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,5000,46,normal_nat_burst,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
hardened_v3_event,5000,46,normal_nat_burst,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
sequence_model_v5,5000,46,normal_nat_burst,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
sequence_model_v5,5000,46,normal_nat_burst,slow_credential_probe,6,0,0,42,1.0,0.125,0.2222222222222222,0.0,0.0,0.5,0.08333333333333333,0.4166666666666667,4.5,0.0,48,12
sequence_model_v5,5000,46,normal_nat_burst,session_replay_chain,12,0,0,36,1.0,0.25,0.4,0.0,0.0,1.0,0.0,1.0,4.0,0.0,48,12
sequence_model_v5,5000,46,normal_nat_burst,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
sequence_model_v5,5000,46,normal_nat_burst,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
sequence_model_v5,5000,46,normal_nat_burst,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
